"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",0,280,"New","0","None","Black","Unknown","iPad mini",0,11557,"Train"
"In very good condition, some scratches on corner but otherwise almost new",0,220,"Used","0","None","Unknown","16","iPad 2",0,11558,"Train"
"Like out of the box new been in otter box since day one comes with otter box",0,525,"Used","1","AT&T","Unknown","16","iPad 2",0,11559,"Train"
"",0,149,"Used","1","AT&T","Black","16","iPad 1",0,11560,"Train"
"",0,350,"Used","1","Verizon","White","32","iPad mini",1,11561,"Train"
"",0,275,"New","0","None","Unknown","16","iPad mini",0,11562,"Train"
"",0,300,"Used","0","None","Space Gray","16","iPad Air",0,11563,"Train"
"",0,327.58,"New other (see details)","0","None","Space Gray","32","iPad mini 2",0,11564,"Train"
"",0,250,"Seller refurbished","0","None","Unknown","16","iPad mini",0,11565,"Train"
"Works Perfectly, Excellent Condition. Has A Screen Protector And Comes With Smart Case And A Pouch ",0,400,"Used","0","None","Unknown","64","iPad Air",0,11566,"Train"
"",0,420,"Used","0","None","White","Unknown","iPad mini Retina",1,11567,"Train"
"perfect condition",0,289,"Used","Unknown","Unknown","Unknown","Unknown","iPad mini",0,11568,"Train"
"",0,375,"Used","0","None","White","64","iPad mini 2",0,11569,"Train"
"Flawless, barely used, just like brand new, completely erased and reset, no scratches, no cracks, ",0,250,"Used","Unknown","Unknown","Black","Unknown","Unknown",1,11570,"Train"
"",0,525,"Used","0","None","Space Gray","64","iPad Air 2",0,11571,"Train"
"Fantastic condition, fully functional. Small ding on lower right corner, no impact on screen. Case ",0,269.95,"Used","0","None","Black","16","iPad 3",0,11572,"Train"
"",0,455,"New","0","None","Space Gray","16","iPad Air",0,11573,"Train"
"",0,200,"Used","0","None","White","16","Unknown",0,11574,"Train"
"",0,149.99,"Used","1","AT&T","Black","32","iPad 1",0,11575,"Train"
"Minor wear along lower chrome edge. Otherwise flawless. No scratches or marks on glass.",0,400,"Used","0","None","Unknown","64","iPad Air",0,11576,"Train"
"",0,315,"Used","Unknown","Unknown","Unknown","16","iPad 4",0,11577,"Train"
"",0,500,"New","0","None","Unknown","16","iPad mini 3",0,11578,"Train"
"",0,70,"Used","0","None","Black","Unknown","iPad 1",0,11579,"Train"
"",0,450,"Used","0","None","Unknown","32","iPad 3",0,11580,"Train"
"Works great!",0,8,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",1,11581,"Train"
"",0,195,"Manufacturer refurbished","1","AT&T","Black","16","iPad 4",1,11582,"Train"
"",0,4.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",1,11583,"Train"
"",0,259.99,"New","0","None","White","16","iPad mini",0,11584,"Train"
"Half of the screen doesn&#039;t work and it&#039;s cracked, damage shown in pictures.",0,100,"Used","Unknown","Unknown","Unknown","16","Unknown",0,11585,"Train"
"In perfect condition. No physical flaws.",0,350,"Used","0","None","Unknown","32","iPad Air",0,11586,"Train"
"Perfect condition. NO scratches or dents.",0,380,"Used","Unknown","Unknown","Black","16","Unknown",0,11587,"Train"
"Barley been used! In great condition. Excellent camera. Light and durable. You will love it!",0,200,"Seller refurbished","0","None","Unknown","16","iPad 3",0,11588,"Train"
"",0,150,"Used","0","None","Unknown","16","Unknown",1,11589,"Train"
"",0,380,"New","0","None","White","16","iPad mini 3",1,11590,"Train"
"",0,2.99,"New","Unknown","Unknown","Unknown","Unknown","Unknown",0,11591,"Train"
"",0,350,"New","Unknown","Unknown","White","16","iPad mini 2",0,11592,"Train"
"",1,60,"For parts or not working","1","Verizon","Unknown","16","iPad mini",0,11593,"Train"
"No scratches. Not in box. Like new.",0,480,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11594,"Train"
"",0,175,"Used","0","None","Black","16","iPad 3",0,11595,"Train"
"broken",0,69.69,"For parts or not working","0","None","Unknown","64","iPad 3",1,11596,"Train"
"",0,175,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,11597,"Train"
"The ipad won&#039;t power on. I set it on a charger for a while and nothing happened. Since I can&#039;t get ",1,15,"For parts or not working","1","AT&T","Unknown","32","iPad 1",1,11598,"Train"
"PLEASE READ DESCRIPTION BELOW",0,119.88,"For parts or not working","1","Verizon","Unknown","32","iPad 4",0,11599,"Train"
"",0,225,"For parts or not working","0","None","Unknown","16","iPad mini 2",0,11600,"Train"
"",0,29.99,"For parts or not working","1","AT&T","Unknown","16","iPad mini",1,11601,"Train"
"",1,119.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",0,11602,"Train"
"Work fineiCloud lock",1,0.99,"For parts or not working","0","None","White","16","iPad 4",1,11603,"Train"
"",0,150,"For parts or not working","0","None","Unknown","16","iPad 4",0,11604,"Train"
"",0,229,"For parts or not working","Unknown","Unknown","Unknown","16","iPad Air",1,11605,"Train"
"",0,199,"For parts or not working","0","None","White","32","Unknown",0,11606,"Train"
"",1,50,"For parts or not working","0","None","White","16","iPad 2",1,11607,"Train"
"",0,149,"Seller refurbished","0","None","Unknown","16","iPad mini",1,11608,"Train"
"BROKEN: Device has at least one or more problems: 
For Parts or Repair",0,29.95,"For parts or not working","0","None","Unknown","16","iPad 1",1,11609,"Train"
"Icloud lock",0,129.99,"For parts or not working","0","None","White","16","iPad 2",0,11610,"Train"
"CLEAN ICLOUD..NO LOCKS..WON&#039;T POWER ON..This iPad has a bad power button and will not power on. I ",1,15,"For parts or not working","1","Unknown","Black","32","iPad 1",1,11611,"Train"
"This iPad is ICLOUD LOCKED. You will not be able to use it. It is being sold for parts only. It is ",0,229.98,"For parts or not working","0","None","Space Gray","16","iPad Air 2",0,11612,"Train"
"",1,19.5,"For parts or not working","1","Sprint","Black","16","iPad mini",1,11613,"Train"
"Please Read. No Returns.",0,69.95,"For parts or not working","0","None","Unknown","16","iPad 2",0,11614,"Train"
"",1,75,"For parts or not working","0","None","Space Gray","16","iPad Air",1,11615,"Train"
"",1,50,"For parts or not working","0","None","Space Gray","16","iPad mini",1,11616,"Train"
"",1,14.99,"For parts or not working","1","Unknown","Black","64","iPad 1",1,11617,"Train"
"",1,100,"For parts or not working","1","Unknown","White","64","iPad 4",1,11618,"Train"
"Please note that this unit is in working condition, but is locked with another Apple ID",1,299.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",1,11619,"Train"
"touch screen not reponding",1,0.99,"For parts or not working","0","None","Unknown","16","iPad 2",1,11620,"Train"
"Stopped charging a few years ago, took to apple and they said the connector pin inside the ipad is ",1,0.99,"For parts or not working","1","Unknown","Black","64","iPad 1",1,11621,"Train"
"",1,30,"For parts or not working","0","None","Unknown","32","iPad 1",0,11622,"Train"
"",1,0.99,"For parts or not working","0","None","Black","16","Unknown",1,11623,"Train"
"iPad would not update after last software upgrade from Apple",1,25,"For parts or not working","0","None","Unknown","32","iPad 3",1,11624,"Train"
"",1,0.99,"For parts or not working","0","None","Unknown","16","iPad Air",1,11625,"Train"
"",1,114.99,"For parts or not working","0","None","Unknown","16","iPad mini",0,11626,"Train"
"",1,49.99,"For parts or not working","0","None","White","16","iPad 3",1,11627,"Train"
"This tablet is in great condition it totally working but need to reactivated is the only, i do not ",1,10,"For parts or not working","0","None","Unknown","16","iPad mini",1,11628,"Train"
"Activation Locked Icloud Locked Passcode Locked Sold As Is No Returns All Sales Are Final",0,59.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",0,11629,"Train"
"",1,30,"For parts or not working","0","None","Unknown","16","iPad 2",1,11630,"Train"
"",0,100,"For parts or not working","1","Unknown","Black","64","iPad 3",0,11631,"Train"
"",1,30,"For parts or not working","0","None","White","16","iPad mini",1,11632,"Train"
"",0,209,"For parts or not working","Unknown","Unknown","Unknown","16","iPad Air",0,11633,"Train"
"",1,14.99,"For parts or not working","1","Unknown","Black","64","iPad 1",1,11634,"Train"
"powering on but stuck on the itunes logo",1,0.99,"For parts or not working","0","None","Unknown","32","iPad 3",1,11635,"Train"
"",1,25,"For parts or not working","0","None","White","16","iPad mini",1,11636,"Train"
"",1,0.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",1,11637,"Train"
"",1,39,"For parts or not working","0","None","White","16","iPad 4",1,11638,"Train"
"",1,119.99,"For parts or not working","0","None","Unknown","16","iPad mini",0,11639,"Train"
"This is a Apple iPad 2 16GB Wifi only. The iPad has a cracked screen and bent corner(s). In the 2nd ",0,89.99,"For parts or not working","0","None","White","16","iPad 2",0,11640,"Train"
"&lt;iCloud Locked&gt;",1,32.95,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",1,11641,"Train"
"Brand new. Bad ESN.",0,550,"For parts or not working","1","Sprint","Unknown","128","iPad Air 2",0,11642,"Train"
"iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ",0,128,"For parts or not working","0","None","White","32","iPad 3",0,11643,"Train"
"",1,80,"For parts or not working","0","None","Unknown","16","iPad 2",0,11644,"Train"
"",1,0.99,"For parts or not working","0","None","Unknown","32","iPad Air",1,11645,"Train"
"PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ",1,40,"For parts or not working","0","None","Unknown","64","iPad 2",1,11646,"Train"
"iPad Mini does not have any dents or heavy visible scratches, as shown in the pictures.",1,0.99,"For parts or not working","0","None","Space Gray","16","iPad mini",1,11647,"Train"
"",0,71.99,"For parts or not working","0","None","Black","16","iPad 2",1,11648,"Train"
"",0,209,"For parts or not working","Unknown","Unknown","Unknown","16","iPad Air",0,11649,"Train"
"WORKING! Cracked screen and dented corners, see photos",1,92,"For parts or not working","0","None","Unknown","64","iPad 2",1,11650,"Train"
"Please note that this unit is in working condition, but is locked with another Apple ID",1,179.99,"For parts or not working","0","None","Unknown","32","iPad Air",0,11651,"Train"
"This iPad is functional. However, it has a cracked screen. Includes iPad only. Does not include ",1,0.99,"For parts or not working","0","None","Unknown","16","iPad mini 2",1,11652,"Train"
"",1,0.99,"For parts or not working","0","None","Unknown","16","iPad mini",1,11653,"Train"
"This iPad has a bad IMEINo USB",1,0.99,"For parts or not working","1","T-Mobile","White","16","iPad Air",1,11654,"Train"
"",1,65,"For parts or not working","1","AT&T","Black","64","iPad 4",1,11655,"Train"
"",1,0.99,"For parts or not working","0","None","Black","16","iPad mini",1,11656,"Train"
"",1,1,"For parts or not working","1","AT&T","Unknown","32","iPad 1",1,11657,"Train"
"iPad is cracked but fully functional. Everything works well and just needs the screen (digitizer) to ",0,128,"For parts or not working","0","None","White","32","iPad 3",0,11658,"Train"
"Everything works perfect only damage shown on third picture. Screen works perfect. Original box and ",0,200,"Used","Unknown","Unknown","Unknown","32","iPad 2",0,11659,"Train"
"selling my ipad mini  has a brand new screen  on it  i dont know whats wrong  sometimes the it works ",1,0.99,"For parts or not working","0","None","Black","16","iPad mini",1,11660,"Train"
"Just broken screen still works fine",1,25,"For parts or not working","0","None","White","32","iPad mini",1,11661,"Train"
"",1,30,"For parts or not working","0","None","Unknown","16","iPad mini",1,11662,"Train"
"",0,57.5,"For parts or not working","Unknown","Unknown","Unknown","16","Unknown",1,11663,"Train"
"",1,39.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","Unknown",1,11664,"Train"
"",1,75,"For parts or not working","Unknown","Unknown","Unknown","16","Unknown",1,11665,"Train"
"",1,5,"For parts or not working","0","None","White","16","iPad 2",1,11666,"Train"
"PLEASE READ THE ENTIRE DESCRIPTION! THE ANSWER TO YOUR QUESTION(S) ARE USUALLY ALREADY IN THE ",1,40,"For parts or not working","0","None","Unknown","64","iPad 2",1,11667,"Train"
"",0,119.99,"For parts or not working","0","None","Unknown","16","iPad mini",0,11668,"Train"
"Works great, just has a hairline crack",1,74.99,"For parts or not working","0","None","Black","16","iPad 2",1,11669,"Train"
"",1,29.95,"For parts or not working","0","None","Black","16","iPad 2",1,11670,"Train"
"",1,40,"For parts or not working","1","Verizon","White","32","iPad 2",1,11671,"Train"
"",1,50,"For parts or not working","0","None","Unknown","16","iPad mini",1,11672,"Train"
"Pin locked, home button does not work.",0,129.95,"For parts or not working","0","None","Black","16","iPad 2",0,11673,"Train"
"",1,45,"For parts or not working","0","None","Unknown","16","iPad mini",0,11674,"Train"
"iPad has minor cracks in glass. Only minor crack or no cracks at all on actual viewing area. Fully ",0,129.95,"For parts or not working","1","Unknown","Black","32","iPad 2",0,11675,"Train"
"Please scroll down to see pictures and full description",0,54.99,"For parts or not working","1","AT&T","Black","64","iPad 1",1,11676,"Train"
"",0,189.99,"For parts or not working","0","None","Unknown","16","iPad Air",0,11677,"Train"
"",1,1,"For parts or not working","Unknown","Unknown","Unknown","16","iPad 3",1,11678,"Train"
"",1,70,"For parts or not working","0","None","Unknown","16","iPad mini",1,11679,"Train"
"The display doesn&#039;t work, will need a new screen, SOLD AS IS, price reflected.  Being that it&#039;s sold ",1,49.99,"For parts or not working","0","None","Black","64","iPad 1",1,11680,"Train"
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,"For parts or not working","0","None","Unknown","16","iPad 2",1,11681,"Train"
"Fully functional, Only cracked Digitizer , Screen works great",0,399.99,"For parts or not working","1","AT&T","Unknown","64","iPad Air 2",0,11682,"Train"
"BROKEN DEVICE: Problem with Apple ID",1,149.98,"For parts or not working","0","None","Unknown","16","iPad 4",0,11683,"Train"
"READ DESCRIPTION SOLD AS IS NO RETURNS",0,157,"For parts or not working","1","Verizon","Unknown","16","iPad 2",0,11684,"Train"
"a icloud lock that&#039;s why im selling it for parts as-is. The ipad has signs of use such as few ",1,160,"For parts or not working","0","None","Unknown","16","iPad 2",0,11685,"Train"
"",1,50,"For parts or not working","Unknown","Unknown","Space Gray","Unknown","Unknown",1,11686,"Train"
"",0,100,"For parts or not working","0","None","Unknown","16","iPad mini",0,11687,"Train"
"Cracked screen",1,1,"For parts or not working","0","None","Unknown","64","iPad Air 2",1,11688,"Train"
"There are many cracks on the screen of this iPad including a chip on the bottom right edge of the ",1,0.99,"For parts or not working","0","None","Black","16","iPad mini",1,11689,"Train"
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,"For parts or not working","0","None","Unknown","32","iPad 4",1,11690,"Train"
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,"For parts or not working","0","None","Unknown","32","iPad mini",0,11691,"Train"
"",0,150,"For parts or not working","Unknown","Unknown","White","32","iPad 4",0,11692,"Train"
"This item is broken and does not function. It is being sold for parts only. See pictures for ",1,224.99,"For parts or not working","1","Verizon","Unknown","32","iPad 4",0,11693,"Train"
"",1,15,"For parts or not working","0","None","Unknown","16","iPad 2",1,11694,"Train"
"",1,75,"For parts or not working","Unknown","Unknown","Space Gray","16","Unknown",1,11695,"Train"
"",0,55,"For parts or not working","Unknown","Unknown","Unknown","Unknown","iPad 1",0,11696,"Train"
"",0,250,"For parts or not working","0","None","Unknown","16","iPad 2",1,11697,"Train"
"Screen is cracked and covered with tape. Appears to be functional otherwise. SOLD AS-IS.",0,89.99,"For parts or not working","0","None","Unknown","16","iPad 2",0,11698,"Train"
"",1,99.99,"For parts or not working","Unknown","Unknown","Unknown","Unknown","iPad 4",0,11699,"Train"
"",1,19.99,"For parts or not working","Unknown","Unknown","Space Gray","16","Unknown",0,11700,"Train"
"",1,62,"For parts or not working","Unknown","Unknown","White","Unknown","iPad mini",1,11701,"Train"
"Working Condition.  Shattered and missing glass around home button.  Several cracks running across ",0,144.5,"For parts or not working","0","None","Black","16","iPad 4",1,11702,"Train"
"",0,74.95,"For parts or not working","0","None","Unknown","16","iPad mini",0,11703,"Train"
"",1,99.95,"For parts or not working","0","None","White","16","iPad mini",0,11704,"Train"
"",0,590,"New","Unknown","Unknown","White","16","Unknown",1,11705,"Train"
"Touch screen issue; handset only. Please refer to the item description below. Contact us with any ",1,0.99,"For parts or not working","0","None","Unknown","32","iPad 4",1,11706,"Train"
